Category,Score,Exchange,Contribution
"('EF v3.1 no LT', 'human toxicity: non-carcinogenic no LT', 'comparative toxic unit for human (CTUh) no LT')",5.0742709790570326e-11,heat CHP,0.0052178571243747685
"('EF v3.1 no LT', 'human toxicity: non-carcinogenic no LT', 'comparative toxic unit for human (CTUh) no LT')",5.875470984184664e-11,electricity CHP,0.006041728607009147
"('EF v3.1 no LT', 'human toxicity: non-carcinogenic no LT', 'comparative toxic unit for human (CTUh) no LT')",7.337397507634982e-08,syncrude,7.545023121074541
"('EF v3.1 no LT', 'human toxicity: non-carcinogenic no LT', 'comparative toxic unit for human (CTUh) no LT')",2.548469833634366e-09,H2,0.26205836331102644
"('EF v3.1 no LT', 'human toxicity: non-carcinogenic no LT', 'comparative toxic unit for human (CTUh) no LT')",4.61037423939777e-12,C1C4,0.00047408335444367643
"('EF v3.1 no LT', 'human toxicity: non-carcinogenic no LT', 'comparative toxic unit for human (CTUh) no LT')",6.415944817104536e-11,H20,0.006597496174661427
"('EF v3.1 no LT', 'human toxicity: non-carcinogenic no LT', 'comparative toxic unit for human (CTUh) no LT')",1.3103331772004474e-11,naphta,0.0013474115458513697
"('EF v3.1 no LT', 'human toxicity: non-carcinogenic no LT', 'comparative toxic unit for human (CTUh) no LT')",2.4586094864186767e-11,jet fuel,0.0025281805165141328
"('EF v3.1 no LT', 'human toxicity: non-carcinogenic, inorganics no LT', 'comparative toxic unit for human (CTUh) no LT')",8.461909460559205e-07,syngas,92.14051981206765
"('EF v3.1 no LT', 'human toxicity: non-carcinogenic, inorganics no LT', 'comparative toxic unit for human (CTUh) no LT')",4.8797938707061813e-11,heat CHP,0.005313537634954743
"('EF v3.1 no LT', 'human toxicity: non-carcinogenic, inorganics no LT', 'comparative toxic unit for human (CTUh) no LT')",5.6502869898888164e-11,electricity CHP,0.006152516553885622
"('EF v3.1 no LT', 'human toxicity: non-carcinogenic, inorganics no LT', 'comparative toxic unit for human (CTUh) no LT')",6.955727690400572e-08,syncrude,7.573992230145504
"('EF v3.1 no LT', 'human toxicity: non-carcinogenic, inorganics no LT', 'comparative toxic unit for human (CTUh) no LT')",2.415955139416355e-09,H2,0.2630698938886405
"('EF v3.1 no LT', 'human toxicity: non-carcinogenic, inorganics no LT', 'comparative toxic unit for human (CTUh) no LT')",4.356633463798652e-12,C1C4,0.0004743875762983272
"('EF v3.1 no LT', 'human toxicity: non-carcinogenic, inorganics no LT', 'comparative toxic unit for human (CTUh) no LT')",6.062831006910702e-11,H20,0.0066017298236674396
"('EF v3.1 no LT', 'human toxicity: non-carcinogenic, inorganics no LT', 'comparative toxic unit for human (CTUh) no LT')",1.2382164813724032e-11,naphta,0.0013482761871335715
"('EF v3.1 no LT', 'human toxicity: non-carcinogenic, inorganics no LT', 'comparative toxic unit for human (CTUh) no LT')",2.3232952048473144e-11,jet fuel,0.00252980286363604
"('EF v3.1 no LT', 'human toxicity: non-carcinogenic, organics no LT', 'comparative toxic unit for human (CTUh) no LT')",5.015245267479018e-08,syngas,92.68316094483414
"('EF v3.1 no LT', 'human toxicity: non-carcinogenic, organics no LT', 'comparative toxic unit for human (CTUh) no LT')",1.9447710835085145e-12,heat CHP,0.00359399235172965
"('EF v3.1 no LT', 'human toxicity: non-carcinogenic, organics no LT', 'comparative toxic unit for human (CTUh) no LT')",2.2518399429584774e-12,electricity CHP,0.004161464349681476
"('EF v3.1 no LT', 'human toxicity: non-carcinogenic, organics no LT', 'comparative toxic unit for human (CTUh) no LT')",3.816698172344107e-09,syncrude,7.0533669266196695
"('EF v3.1 no LT', 'human toxicity: non-carcinogenic, organics no LT', 'comparative toxic unit for human (CTUh) no LT')",1.325146942180105e-10,H2,0.244890929091829
"('EF v3.1 no LT', 'human toxicity: non-carcinogenic, organics no LT', 'comparative toxic unit for human (CTUh) no LT')",2.537407755991187e-13,C1C4,0.0004689201801478706
"('EF v3.1 no LT', 'human toxicity: non-carcinogenic, organics no LT', 'comparative toxic unit for human (CTUh) no LT')",3.5311381019383503e-12,H20,0.006525643783417568
"('EF v3.1 no LT', 'human toxicity: non-carcinogenic, organics no LT', 'comparative toxic unit for human (CTUh) no LT')",7.211669582804391e-13,naphta,0.0013327370785995575
"('EF v3.1 no LT', 'human toxicity: non-carcinogenic, organics no LT', 'comparative toxic unit for human (CTUh) no LT')",1.3531428157136236e-12,jet fuel,0.002500646462564186
"('EF v3.1 no LT', 'ionising radiation: human health no LT', 'human exposure efficiency relative to u235 no LT')",12.977871529839511,syngas,99.16759620051972
